Timestamp,Pose_X,Pose_Y,Pose_Theta,eCO2,TVOC,AQI,R0,R1,R2,R3,Channel
2025-12-17 14:22:17.088429,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,421.0718001869686,33.0,1.0,411180.0,1.0,1560666.0,75905.0,0
2025-12-17 14:22:17.181060,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,423.4110941571916,33.0,1.0,697161.0,1.0,1743901.0,72613.0,1
2025-12-17 14:22:17.283656,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,428.38454975423707,35.0,1.0,702847.0,1.0,1530846.0,67562.0,2
2025-12-17 14:22:17.385155,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,415.5439000326905,27.0,1.0,1003440.0,1.0,1911416.0,75393.0,3
2025-12-17 14:22:17.479860,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,434.26621804964674,36.0,1.0,1201403.0,1.0,2326778.0,87322.0,4
2025-12-17 14:22:17.582873,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,428.22623743762455,35.0,1.0,793650.0,1.0,2352115.0,77357.0,5
2025-12-17 14:22:18.077577,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,438.0716917732576,41.0,1.0,410763.0,1.0,1579797.0,74656.0,0
2025-12-17 14:22:18.181590,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,425.4094626866654,34.0,1.0,683146.0,1.0,1748037.0,72441.0,1
2025-12-17 14:22:18.278701,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,436.3842251419288,39.0,1.0,685230.0,1.0,1530846.0,67016.0,2
2025-12-17 14:22:18.380019,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,425.53903591822404,31.0,1.0,1004459.0,1.0,1946012.0,74656.0,3
2025-12-17 14:22:18.479082,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,416.2633472984098,29.0,1.0,1201403.0,1.0,2273839.0,88782.0,4
2025-12-17 14:22:18.580743,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,427.22790587278837,34.0,1.0,792576.0,1.0,2368892.0,77436.0,5
2025-12-17 14:22:19.076971,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,415.071582236553,30.0,1.0,415799.0,1.0,1575526.0,76369.0,0
2025-12-17 14:22:19.178578,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,430.4078369917467,36.0,1.0,687553.0,1.0,1711738.0,72099.0,1
2025-12-17 14:22:19.280339,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,428.38389837879436,35.0,1.0,710260.0,1.0,1520004.0,67517.0,2
2025-12-17 14:22:19.375607,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,429.53416826395835,33.0,1.0,986602.0,1.0,1869193.0,74404.0,3
2025-12-17 14:22:19.478729,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,421.26047532615365,31.0,1.0,1171687.0,1.0,2311863.0,88362.0,4
2025-12-17 14:22:19.589605,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,424.22959268653796,33.0,1.0,786963.0,1.0,2365687.0,77698.0,5
2025-12-17 14:22:20.077138,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,413.07147261512523,29.0,1.0,405514.0,1.0,1611661.0,76524.0,0
2025-12-17 14:22:20.177833,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,426.40620760024353,34.0,1.0,691989.0,1.0,1715799.0,72392.0,1
2025-12-17 14:22:20.277983,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,417.3835729186176,30.0,1.0,704037.0,1.0,1521549.0,68298.0,2
2025-12-17 14:22:20.384355,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,450.52923626748463,43.0,1.0,1022640.0,1.0,1903669.0,72908.0,3
2025-12-17 14:22:20.483482,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,431.2575886844288,35.0,1.0,1186452.0,1.0,2304052.0,87559.0,4
2025-12-17 14:22:20.578875,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,426.23124674253177,34.0,1.0,802021.0,1.0,2382561.0,77514.0,5
2025-12-17 14:22:21.082047,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,425.0713624739594,35.0,1.0,410902.0,1.0,1578194.0,75597.0,0
2025-12-17 14:22:21.179269,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,448.404574652388,45.0,1.0,698105.0,1.0,1737420.0,70889.0,1
2025-12-17 14:22:21.285956,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,428.3832440888238,35.0,1.0,702847.0,1.0,1518976.0,67562.0,2
2025-12-17 14:22:21.381509,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,422.52436095669174,30.0,1.0,986268.0,1.0,1896595.0,74910.0,3
2025-12-17 14:22:21.482528,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,440.2547184388375,40.0,1.0,1179645.0,1.0,2324417.0,86762.0,4
2025-12-17 14:22:21.580142,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,416.23292085746783,29.0,1.0,780068.0,1.0,2373707.0,78306.0,5
2025-12-17 14:22:22.081977,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,442.07125287850755,43.0,1.0,411180.0,1.0,1571266.0,74379.0,0
2025-12-17 14:22:22.180340,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,420.4029422997038,32.0,1.0,692223.0,1.0,1750405.0,72834.0,1
2025-12-17 14:22:22.278134,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,433.3829204118135,37.0,1.0,702847.0,1.0,1538117.0,67198.0,2
2025-12-17 14:22:22.378314,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,427.5194873522385,32.0,1.0,987939.0,1.0,1904958.0,74505.0,3
2025-12-17 14:22:22.486440,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,435.2518342132942,37.0,1.0,1186050.0,1.0,2304052.0,87204.0,4
2025-12-17 14:22:22.578913,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,433.23459079910054,37.0,1.0,791504.0,1.0,2368892.0,76965.0,5
2025-12-17 14:22:23.077147,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,434.07114380476656,39.0,1.0,404281.0,1.0,1571797.0,74986.0,0
2025-12-17 14:22:23.183092,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,418.4013072059704,31.0,1.0,702847.0,1.0,1709423.0,72933.0,1
2025-12-17 14:22:23.287462,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,426.38259113997975,34.0,1.0,687321.0,1.0,1529293.0,67654.0,2
2025-12-17 14:22:23.376441,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,429.5146072842292,33.0,1.0,1014367.0,1.0,1897237.0,74379.0,3
2025-12-17 14:22:23.483368,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,420.2489700526881,30.0,1.0,1198154.0,1.0,2283866.0,88482.0,4
2025-12-17 14:22:23.582474,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,417.2362687495966,30.0,1.0,790433.0,1.0,2346549.0,78200.0,5
2025-12-17 14:22:24.085495,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,419.07103328667563,32.0,1.0,415236.0,1.0,1591066.0,76033.0,0
2025-12-17 14:22:24.181180,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,439.3996797173848,40.0,1.0,710741.0,1.0,1724531.0,71491.0,1
2025-12-17 14:22:24.278242,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,429.51019817575815,33.0,1.0,978620.0,1.0,1918546.0,74379.0,3
2025-12-17 14:22:24.380554,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,432.24639244949356,36.0,1.0,1183644.0,1.0,2344961.0,87440.0,4
2025-12-17 14:22:24.478556,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,414.237766995579,29.0,1.0,788029.0,1.0,2359290.0,78412.0,5
2025-12-17 14:22:25.091634,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,436.070923010698,40.0,1.0,407716.0,1.0,1577126.0,74808.0,0
2025-12-17 14:22:25.176324,0.0037705261059678,-0.0277967433175358,-0.0168620783029057,430.39805702930414,36.0,1.0,701896.0,1.0,1737420.0,72123.0,1
