Timestamp,Channel,Pose_X,Pose_Y,Pose_Theta,eCO2,TVOC,AQI,R0,R1,R2,R3,Elapsed_s
2025-12-19 11:33:05.325478,2,-0.0149794302017363,-0.0138319097749293,0.0,593.0,127.0,2.0,727780.0,1.0,781390.0,48409.0,0.0
2025-12-19 11:33:05.422207,3,-0.0149794302017363,-0.0138319097749293,0.0,590.0,125.0,2.0,942538.0,1.0,826547.0,54037.0,0.096729
2025-12-19 11:33:05.523718,4,-0.0149794302017363,-0.0138319097749293,0.0,572.0,114.0,2.0,993639.0,1.0,1147356.0,63828.0,0.19824
2025-12-19 11:33:05.619791,5,-0.0149794302017363,-0.0138319097749293,0.0,540.0,95.0,2.0,762579.0,1.0,1166938.0,57626.0,0.294313
2025-12-19 11:33:06.126582,0,-0.0149794302017363,-0.0138319097749293,0.0,538.0,93.0,2.0,634127.0,1.0,910863.0,61641.0,0.801104
2025-12-19 11:33:06.224167,1,-0.0149794302017363,-0.0138319097749293,0.0,575.0,116.0,2.0,745986.0,1.0,1122391.0,52523.0,0.898689
2025-12-19 11:33:06.327568,3,-0.0149794302017363,-0.0138319097749293,0.0,591.0,126.0,2.0,915189.0,1.0,815985.0,53964.0,1.00209
2025-12-19 11:33:06.426256,4,-0.0149794302017363,-0.0138319097749293,0.0,571.0,113.0,2.0,1009230.0,1.0,1145029.0,63893.0,1.100778
2025-12-19 11:33:06.524870,5,-0.0149794302017363,-0.0138319097749293,0.0,558.0,105.0,2.0,790433.0,1.0,1146968.0,56621.0,1.199392
2025-12-19 11:33:07.127293,0,-0.0149794302017363,-0.0138319097749293,0.0,547.0,98.0,2.0,636924.0,1.0,898007.0,61101.0,1.801815
2025-12-19 11:33:07.227329,1,-0.0149794302017363,-0.0138319097749293,0.0,550.0,101.0,2.0,753089.0,1.0,1098340.0,53782.0,1.901851
2025-12-19 11:33:07.326066,2,-0.0149794302017363,-0.0138319097749293,0.0,592.0,127.0,2.0,723605.0,1.0,775068.0,48458.0,2.000588
2025-12-19 11:33:07.424042,3,-0.0149794302017363,-0.0138319097749293,0.0,592.0,126.0,2.0,929863.0,1.0,827387.0,53928.0,2.098564
2025-12-19 11:33:07.526078,4,-0.0149794302017363,-0.0138319097749293,0.0,568.0,111.0,2.0,1007183.0,1.0,1138460.0,64109.0,2.2006
2025-12-19 11:33:07.627577,5,-0.0149794302017363,-0.0138319097749293,0.0,572.0,114.0,2.0,786963.0,1.0,1152026.0,55897.0,2.302099
2025-12-19 11:33:08.125044,0,-0.0149794302017363,-0.0138319097749293,0.0,535.0,92.0,2.0,627934.0,1.0,894972.0,61788.0,2.799566
2025-12-19 11:33:08.225627,1,-0.0149794302017363,-0.0138319097749293,0.0,564.0,109.0,2.0,760002.0,1.0,1105426.0,53095.0,2.900149
2025-12-19 11:33:08.325427,2,-0.0149794302017363,-0.0138319097749293,0.0,608.0,137.0,2.0,731980.0,1.0,784304.0,47741.0,2.999949
2025-12-19 11:33:08.426221,3,-0.0149794302017363,-0.0138319097749293,0.0,570.0,113.0,2.0,926095.0,1.0,810754.0,55053.0,3.100743
2025-12-19 11:33:08.525531,4,-0.0149794302017363,-0.0138319097749293,0.0,550.0,100.0,2.0,996670.0,1.0,1138845.0,65204.0,3.200053
2025-12-19 11:33:08.626778,5,-0.0149794302017363,-0.0138319097749293,0.0,544.0,97.0,2.0,774282.0,1.0,1162995.0,57412.0,3.3013
2025-12-19 11:33:09.127915,0,-0.0149794302017363,-0.0138319097749293,0.0,546.0,98.0,2.0,636708.0,1.0,887732.0,61184.0,3.802437
2025-12-19 11:33:09.224366,1,-0.0149794302017363,-0.0138319097749293,0.0,560.0,107.0,2.0,756409.0,1.0,1126959.0,53275.0,3.898888
2025-12-19 11:33:09.325885,2,-0.0149794302017363,-0.0138319097749293,0.0,583.0,121.0,2.0,733716.0,1.0,781654.0,48886.0,4.000407
2025-12-19 11:33:09.427124,3,-0.0149794302017363,-0.0138319097749293,0.0,579.0,118.0,2.0,931123.0,1.0,833006.0,54570.0,4.101646
2025-12-19 11:33:09.525918,4,-0.0149794302017363,-0.0138319097749293,0.0,570.0,112.0,2.0,1025065.0,1.0,1124292.0,64001.0,4.20044
2025-12-19 11:33:09.619900,5,-0.0149794302017363,-0.0138319097749293,0.0,542.0,96.0,2.0,800936.0,1.0,1155149.0,57529.0,4.294422
2025-12-19 11:33:10.123782,0,-0.0149794302017363,-0.0138319097749293,0.0,529.0,88.0,2.0,623276.0,1.0,905637.0,62165.0,4.798304
2025-12-19 11:33:10.227422,1,-0.0149794302017363,-0.0138319097749293,0.0,567.0,111.0,2.0,758460.0,1.0,1106175.0,52951.0,4.901944
2025-12-19 11:33:10.325309,2,-0.0149794302017363,-0.0138319097749293,0.0,592.0,127.0,2.0,750036.0,1.0,767758.0,48441.0,4.999831
2025-12-19 11:33:10.426332,3,-0.0149794302017363,-0.0138319097749293,0.0,589.0,125.0,2.0,947976.0,1.0,820971.0,54074.0,5.100854
2025-12-19 11:33:10.526678,4,-0.0149794302017363,-0.0138319097749293,0.0,567.0,111.0,2.0,1027497.0,1.0,1154758.0,64175.0,5.2012
2025-12-19 11:33:10.628380,5,-0.0149794302017363,-0.0138319097749293,0.0,562.0,107.0,2.0,771666.0,1.0,1166938.0,56449.0,5.302902
2025-12-19 11:33:11.125527,0,-0.0149794302017363,-0.0138319097749293,0.0,524.0,85.0,2.0,641249.0,1.0,910555.0,62460.0,5.800049
2025-12-19 11:33:11.222154,1,-0.0149794302017363,-0.0138319097749293,0.0,550.0,100.0,2.0,767238.0,1.0,1127340.0,53818.0,5.896676
2025-12-19 11:33:11.326175,2,-0.0149794302017363,-0.0138319097749293,0.0,584.0,121.0,2.0,740201.0,1.0,787230.0,48853.0,6.000697
2025-12-19 11:33:11.427599,3,-0.0149794302017363,-0.0138319097749293,0.0,575.0,116.0,2.0,926095.0,1.0,821249.0,54774.0,6.102121
2025-12-19 11:33:11.526116,4,-0.0149794302017363,-0.0138319097749293,0.0,583.0,121.0,2.0,1023679.0,1.0,1148911.0,63205.0,6.200638
2025-12-19 11:33:11.621044,5,-0.0149794302017363,-0.0138319097749293,0.0,541.0,95.0,2.0,778223.0,1.0,1144641.0,57587.0,6.295566
2025-12-19 11:33:12.127038,1,-0.0149794302017363,-0.0138319097749293,0.0,569.0,112.0,2.0,738949.0,1.0,1125434.0,52844.0,6.80156
2025-12-19 11:33:12.227338,2,-0.0149794302017363,-0.0138319097749293,0.0,580.0,119.0,2.0,744976.0,1.0,772188.0,49019.0,6.90186
2025-12-19 11:33:12.327595,3,-0.0149794302017363,-0.0138319097749293,0.0,595.0,128.0,2.0,944454.0,1.0,840653.0,53782.0,7.002117
2025-12-19 11:33:12.424641,4,-0.0149794302017363,-0.0138319097749293,0.0,547.0,99.0,2.0,1022640.0,1.0,1144641.0,65403.0,7.099163
2025-12-19 11:33:12.527672,5,-0.0149794302017363,-0.0138319097749293,0.0,538.0,93.0,2.0,781654.0,1.0,1150467.0,57724.0,7.202194
2025-12-19 11:33:13.127474,0,-0.0149794302017363,-0.0138319097749293,0.0,536.0,92.0,2.0,642988.0,1.0,908400.0,61746.0,7.801996
2025-12-19 11:33:13.227308,1,-0.0149794302017363,-0.0138319097749293,0.0,564.0,109.0,2.0,763612.0,1.0,1122011.0,53095.0,7.90183
2025-12-19 11:33:13.323863,2,-0.0149794302017363,-0.0138319097749293,0.0,607.0,136.0,2.0,733964.0,1.0,783773.0,47774.0,7.998385
2025-12-19 11:33:13.425431,3,-0.0149794302017363,-0.0138319097749293,0.0,579.0,118.0,2.0,934596.0,1.0,811853.0,54570.0,8.099953
2025-12-19 11:33:13.527953,4,-0.0149794302017363,-0.0138319097749293,0.0,559.0,106.0,2.0,1020911.0,1.0,1146580.0,64676.0,8.202475
2025-12-19 11:33:13.624024,5,-0.0149794302017363,-0.0138319097749293,0.0,535.0,92.0,2.0,772711.0,1.0,1147356.0,57880.0,8.298546
2025-12-19 11:33:14.127823,0,-0.0149794302017363,-0.0138319097749293,0.0,526.0,87.0,2.0,636277.0,1.0,924529.0,62334.0,8.802345
2025-12-19 11:33:14.224707,1,-0.0149794302017363,-0.0138319097749293,0.0,558.0,105.0,2.0,760517.0,1.0,1132695.0,53419.0,8.899229
2025-12-19 11:33:14.325845,2,-0.0149794302017363,-0.0138319097749293,0.0,589.0,125.0,2.0,736204.0,1.0,777433.0,48606.0,9.000367
2025-12-19 11:33:14.426616,3,-0.0149794302017363,-0.0138319097749293,0.0,573.0,114.0,2.0,923590.0,1.0,817920.0,54922.0,9.101138
2025-12-19 11:33:14.527393,4,-0.0149794302017363,-0.0138319097749293,0.0,551.0,101.0,2.0,1015397.0,1.0,1158673.0,65115.0,9.201915
2025-12-19 11:33:14.624868,5,-0.0149794302017363,-0.0138319097749293,0.0,525.0,86.0,2.0,799311.0,1.0,1168519.0,58471.0,9.29939
