Timestamp,Pose_X,Pose_Y,Pose_Theta,eCO2,TVOC,AQI,R0,R1,R2,R3,Channel
2025-12-18 17:37:19.389766,3.734440485561439,-3.380815680835181,1.5639072836488426,1048.854929875853,1399.0,4.0,237958.0,1.0,193177.0,28832.0,0
2025-12-18 17:37:19.489750,3.734440485561439,-3.380815680835181,1.5639072836488426,1048.4417712103534,2074.0,4.0,196076.0,1.0,187255.0,22983.0,1
2025-12-18 17:37:19.590391,3.734440485561439,-3.380815680835181,1.5639072836488426,1053.7611754027114,1836.0,4.0,267431.0,1.0,143759.0,24459.0,3
2025-12-18 17:37:19.690385,3.734440485561439,-3.380815680835181,1.5639072836488426,1054.1418509941054,1375.0,4.0,279082.0,1.0,221033.0,31903.0,4
2025-12-18 17:37:19.791001,3.734440485561439,-3.380815680835181,1.5639072836488426,1047.8471378784004,988.0,4.0,261081.0,1.0,218209.0,31860.0,5
2025-12-18 17:37:20.389683,3.734440485561439,-3.380815680835181,1.5639072836488426,1055.922968020349,1432.0,4.0,236593.0,1.0,192394.0,28570.0,0
2025-12-18 17:37:20.488153,3.734440485561439,-3.380815680835181,1.5639072836488426,1048.5439374171249,2074.0,4.0,200641.0,1.0,189679.0,22983.0,1
2025-12-18 17:37:20.591962,3.734440485561439,-3.380815680835181,1.5639072836488426,1044.6376112853454,1874.0,4.0,224577.0,1.0,140774.0,21993.0,2
2025-12-18 17:37:20.690604,3.734440485561439,-3.380815680835181,1.5639072836488426,1056.182930250604,1384.0,4.0,281835.0,1.0,224729.0,31827.0,4
2025-12-18 17:37:20.790007,3.734440485561439,-3.380815680835181,1.5639072836488426,1058.8594911093633,1036.0,4.0,266437.0,1.0,217471.0,31304.0,5
2025-12-18 17:37:21.391208,3.734440485561439,-3.380815680835181,1.5639072836488426,1053.9911155792627,1421.0,4.0,237315.0,1.0,192199.0,28657.0,0
2025-12-18 17:37:21.489396,3.734440485561439,-3.3808156808351804,1.5639072836488426,1047.6463942400376,2070.0,4.0,200437.0,1.0,189294.0,22998.0,1
2025-12-18 17:37:21.591210,3.734440485561439,-3.380815680835181,1.5639072836488426,1045.7092350157234,1879.0,4.0,227947.0,1.0,138271.0,21971.0,2
