Timestamp,Channel,Pose_X,Pose_Y,Pose_Theta,eCO2,TVOC,AQI,R0,R1,R2,R3
2025-12-15T16:43:11.105078,4,0.0,0.0,0.0,489.0,66.0,2.0,706424.0,1.0,1530328.0,81939.0
2025-12-15T16:43:11.203492,5,0.0,0.0,0.0,474.0,58.0,1.0,628572.0,1.0,1712897.0,70985.0
2025-12-15T16:43:11.803046,1,0.0,0.0,0.0,464.0,53.0,1.0,402097.0,1.0,1214074.0,65936.0
2025-12-15T16:43:11.903629,2,0.0,0.0,0.0,500.0,72.0,2.0,628997.0,1.0,1257995.0,69770.0
2025-12-15T16:43:12.003559,3,0.0,0.0,0.0,490.0,67.0,2.0,454507.0,1.0,1035176.0,63505.0
2025-12-15T16:43:12.103475,4,0.0,0.0,0.0,465.0,54.0,1.0,718723.0,1.0,1578728.0,83846.0
2025-12-15T16:43:12.203050,5,0.0,0.0,0.0,473.0,58.0,1.0,624965.0,1.0,1697891.0,71057.0
2025-12-15T16:43:12.802571,1,0.0,0.0,0.0,472.0,57.0,1.0,400603.0,1.0,1225634.0,65425.0
2025-12-15T16:43:12.903845,2,0.0,0.0,0.0,505.0,75.0,2.0,639299.0,1.0,1274279.0,69440.0
2025-12-15T16:43:13.003983,3,0.0,0.0,0.0,500.0,72.0,2.0,444016.0,1.0,1029934.0,62863.0
2025-12-15T16:43:13.102756,4,0.0,0.0,0.0,499.0,71.0,2.0,725076.0,1.0,1550662.0,81166.0
2025-12-15T16:43:13.204035,5,0.0,0.0,0.0,486.0,65.0,2.0,620749.0,1.0,1721616.0,70125.0
2025-12-15T16:43:13.803134,1,0.0,0.0,0.0,470.0,56.0,1.0,394949.0,1.0,1216542.0,65558.0
2025-12-15T16:43:13.903128,2,0.0,0.0,0.0,498.0,71.0,2.0,631985.0,1.0,1262687.0,69865.0
2025-12-15T16:43:14.002680,4,0.0,0.0,0.0,499.0,72.0,2.0,708100.0,1.0,1581938.0,81138.0
2025-12-15T16:43:14.104007,5,0.0,0.0,0.0,480.0,61.0,1.0,622432.0,1.0,1735070.0,70578.0
2025-12-15T16:43:14.802729,2,0.0,0.0,0.0,513.0,79.0,2.0,650210.0,1.0,1291647.0,68902.0
2025-12-15T16:43:14.903403,3,0.0,0.0,0.0,494.0,69.0,2.0,456202.0,1.0,1033776.0,63226.0
2025-12-15T16:43:15.002767,4,0.0,0.0,0.0,485.0,64.0,1.0,720916.0,1.0,1570202.0,82244.0
2025-12-15T16:43:15.102806,5,0.0,0.0,0.0,485.0,64.0,1.0,613232.0,1.0,1717542.0,70196.0
2025-12-15T16:43:15.802605,1,0.0,0.0,0.0,472.0,58.0,1.0,397901.0,1.0,1215719.0,65403.0
2025-12-15T16:43:15.903053,2,0.0,0.0,0.0,485.0,64.0,1.0,631130.0,1.0,1260979.0,70793.0
2025-12-15T16:43:16.003872,3,0.0,0.0,0.0,477.0,60.0,1.0,451747.0,1.0,1036228.0,64283.0
2025-12-15T16:43:16.104669,4,0.0,0.0,0.0,504.0,74.0,2.0,701896.0,1.0,1547516.0,80727.0
2025-12-15T16:43:16.203103,5,0.0,0.0,0.0,481.0,62.0,1.0,631130.0,1.0,1706532.0,70458.0
2025-12-15T16:43:16.803670,1,0.0,0.0,0.0,461.0,52.0,1.0,401146.0,1.0,1226464.0,66115.0
2025-12-15T16:43:16.903759,2,0.0,0.0,0.0,506.0,75.0,2.0,631130.0,1.0,1276005.0,69346.0
2025-12-15T16:43:17.003044,3,0.0,0.0,0.0,500.0,72.0,2.0,463517.0,1.0,1022986.0,62842.0
2025-12-15T16:43:17.103544,4,0.0,0.0,0.0,488.0,66.0,2.0,719941.0,1.0,1569140.0,81966.0
2025-12-15T16:43:17.203395,5,0.0,0.0,0.0,485.0,64.0,1.0,614686.0,1.0,1708844.0,70220.0
2025-12-15T16:43:17.802648,1,0.0,0.0,0.0,455.0,49.0,1.0,400197.0,1.0,1216542.0,66474.0
2025-12-15T16:43:17.903330,2,0.0,0.0,0.0,495.0,70.0,2.0,644295.0,1.0,1276005.0,70078.0
2025-12-15T16:43:18.003912,3,0.0,0.0,0.0,499.0,72.0,2.0,462421.0,1.0,1034826.0,62906.0
2025-12-15T16:43:18.102341,4,0.0,0.0,0.0,500.0,72.0,2.0,712185.0,1.0,1549088.0,81083.0
