Timestamp,Pose_X,Pose_Y,Pose_Theta,eCO2,TVOC,AQI,R0,R1,R2,R3,Channel
2025-12-17 16:44:39.835605,0.0374847717787126,-0.0097620799761481,0.0140537558534149,459.59328389303937,29.0,1.0,1049996.0,1.0,2127895.0,83140.0,4
2025-12-17 16:44:39.933882,0.0374847717787126,-0.0097620799761481,0.0140537558534149,459.5510021659874,31.0,1.0,707860.0,1.0,2198913.0,73329.0,5
2025-12-17 16:44:40.434472,0.0374847717787126,-0.0097620799761481,0.0140537558534149,437.72563088879645,28.0,1.0,396825.0,1.0,1513844.0,71298.0,0
2025-12-17 16:44:40.533729,0.0374847717787126,-0.0097620799761481,0.0140537558534149,410.29768239982536,28.0,1.0,635631.0,1.0,1575526.0,68252.0,1
2025-12-17 16:44:40.635108,0.0374847717787126,-0.0097620799761481,0.0140537558534149,440.4658116107639,32.0,1.0,633913.0,1.0,1413805.0,63483.0,2
2025-12-17 16:44:40.734229,0.0374847717787126,-0.0097620799761481,0.0140537558534149,432.41442903339356,23.0,1.0,883835.0,1.0,1729207.0,70961.0,3
2025-12-17 16:44:40.834143,0.0374847717787126,-0.0097620799761481,0.0140537558534149,478.7815079009022,38.0,1.0,1066110.0,1.0,2132943.0,81607.0,4
2025-12-17 16:44:40.933832,0.0374847717787126,-0.0097620799761481,0.0140537558534149,466.7316330505965,34.0,1.0,718480.0,1.0,2204129.0,72859.0,5
2025-12-17 16:44:41.433889,0.0374847717787126,-0.0097620799761481,0.0140537558534149,444.9132974949136,31.0,1.0,405514.0,1.0,1510772.0,70769.0,0
2025-12-17 16:44:41.533591,0.0374847717787126,-0.0097620799761481,0.0140537558534149,419.53176922486074,33.0,1.0,639083.0,1.0,1584617.0,67608.0,1
2025-12-17 16:44:41.634150,0.0374847717787126,-0.0097620799761481,0.0140537558534149,437.69776048945204,30.0,1.0,614894.0,1.0,1408075.0,63655.0,2
2025-12-17 16:44:41.733959,0.0374847717787126,-0.0097620799761481,0.0140537558534149,455.6338466389231,34.0,1.0,865189.0,1.0,1718123.0,69346.0,3
2025-12-17 16:44:41.833258,0.0374847717787126,-0.0097620799761481,0.0140537558534149,452.969840673031,26.0,1.0,1070087.0,1.0,2098572.0,83733.0,4
2025-12-17 16:44:41.934106,0.0374847717787126,-0.0097620799761481,0.0140537558534149,447.91232246253855,26.0,1.0,721893.0,1.0,2219099.0,74178.0,5
2025-12-17 16:44:42.434238,0.0374847717787126,-0.0097620799761481,0.0140537558534149,440.10113910833684,29.0,1.0,398710.0,1.0,1515894.0,71153.0,0
2025-12-17 16:44:42.534478,0.0374847717787126,-0.0097620799761481,0.0140537558534149,403.7660960220079,26.0,1.0,639732.0,1.0,1567547.0,68669.0,1
2025-12-17 16:44:42.634803,0.0374847717787126,-0.0097620799761481,0.0140537558534149,429.93008339610253,27.0,1.0,625177.0,1.0,1399049.0,64196.0,2
2025-12-17 16:44:42.735263,0.0374847717787126,-0.0097620799761481,0.0140537558534149,439.85360970103704,27.0,1.0,897399.0,1.0,1742131.0,70434.0,3
2025-12-17 16:44:42.835204,0.0374847717787126,-0.0097620799761481,0.0140537558534149,464.1587070875111,31.0,1.0,1056055.0,1.0,2160552.0,82803.0,4
2025-12-17 16:44:42.933799,0.0374847717787126,-0.0097620799761481,0.0140537558534149,457.09290692268905,30.0,1.0,715568.0,1.0,2170814.0,73578.0,5
2025-12-17 16:44:43.433734,0.0374847717787126,-0.0097620799761481,0.0140537558534149,441.28882054876425,29.0,1.0,405651.0,1.0,1522064.0,71081.0,0
2025-12-17 16:44:43.533559,0.0374847717787126,-0.0097620799761481,0.0140537558534149,399.99999999999994,19.0,1.0,633055.0,1.0,1604042.0,69936.0,1
2025-12-17 16:44:43.634285,0.0374847717787126,-0.0097620799761481,0.0140537558534149,443.1621344301621,33.0,1.0,623909.0,1.0,1405694.0,63376.0,2
2025-12-17 16:44:43.733590,0.0374847717787126,-0.0097620799761481,0.0140537558534149,451.072719380526,32.0,1.0,883237.0,1.0,1720451.0,69629.0,3
2025-12-17 16:44:43.833722,0.0374847717787126,-0.0097620799761481,0.0140537558534149,455.3469273253821,27.0,1.0,1053556.0,1.0,2117837.0,83563.0,4
2025-12-17 16:44:43.934805,0.0374847717787126,-0.0097620799761481,0.0140537558534149,452.27372856305004,28.0,1.0,721404.0,1.0,2204129.0,73902.0,5
2025-12-17 16:44:44.435079,0.0374847717787126,-0.0097620799761481,0.0140537558534149,434.4768491871628,26.0,1.0,399926.0,1.0,1524641.0,71540.0,0
2025-12-17 16:44:44.533393,0.0374847717787126,-0.0097620799761481,0.0140537558534149,409.2340802696996,28.0,1.0,632413.0,1.0,1586764.0,68576.0,1
2025-12-17 16:44:44.634551,0.0374847717787126,-0.0097620799761481,0.0140537558534149,441.39436748651997,32.0,1.0,623276.0,1.0,1418598.0,63462.0,2
