Timestamp,Arduino_MS,Channel,eCO2,TVOC,AQI,R0,R1,R2,R3
2025-10-28 10:20:01,66856,0,410,28,1,168718,1,525175,55746
2025-10-28 10:20:01,66873,1,405,26,1,112326,1,333576,53836
2025-10-28 10:20:01,66888,2,418,32,1,209879,1,549356,55333
2025-10-28 10:20:01,66904,3,417,31,1,171539,1,471269,50843
2025-10-28 10:20:01,66920,4,400,23,1,201457,1,675787,69676
2025-10-28 10:20:01,66935,5,407,27,1,186370,1,641249,60689
2025-10-28 10:20:03,68856,0,406,26,1,174349,1,528027,55973
2025-10-28 10:20:03,68872,1,407,27,1,111569,1,334254,54404
2025-10-28 10:20:03,68887,2,414,30,1,208675,1,561765,55539
2025-10-28 10:20:03,68903,3,408,27,1,174703,1,473026,51293
2025-10-28 10:20:03,68919,4,409,27,1,207618,1,672821,69065
2025-10-28 10:20:03,68934,5,415,30,1,187763,1,648232,60239
