# x,y,yaw
-1.850000,-4.980000,0.000000
-2.350000,-4.980000,0.000000
1.150000,-4.480000,0.000000
1.650000,-4.480000,0.000000
4.150000,-3.980000,0.000000
2.150000,-3.980000,0.000000
-5.850000,-3.480000,0.000000
0.650000,-2.480000,0.000000
3.650000,-0.980000,0.000000
-6.350000,-0.480000,0.000000
-2.850000,0.020000,0.000000
-6.350000,0.020000,0.000000
4.150000,1.020000,0.000000
3.650000,1.020000,0.000000
-2.350000,1.020000,0.000000
-3.850000,1.020000,0.000000
-4.350000,1.020000,0.000000
0.650000,1.520000,0.000000
1.150000,1.520000,0.000000
3.150000,1.520000,0.000000
